"#","ML #","St","Current Price","List Price","Sale Price","Address","Zip Code","Owner Zip Code","Beds Total","Baths Total","Sq Ft Total","Type","Assessed Value","Basement Description","Additional Exterior Features","Additional Interior Features","Additional Rooms","Additional Structures","Attic Description","Change Date","Chng Info","City","City Village Tax","Close Date","Closed Date Received","Chng Type","Contract Date","DOM","Driveway Description","Expiration Date","Floor Description","Garage Description","Heating Fuel Description","Furnished YN","List Date","Listing Type","Lot Dimensions Depth","Lot Dimensions Frontage","Lot Information"
"1","B470090","S","$239,500","$245,000","$239,500","170 Skyline DR","14001","14001","3","3.1","2,644","RES","$240,000","Crawl Space","Garage Door Opener, Patio","Ceiling Fan, Circuit Breakers - Some, Sliding Glass Door","1st Floor Bedroom, 1st Floor Master Bedroom, Family Room, In-Law - see Remarks, Laundry-1st Floor, Master Bedroom Bath","Shed","Crawl Space","","NEW","Newstead","$1,410","06/18/2015","07/02/2015","","03/24/2015","7","Blacktop","","Ceramic-Some, Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Gas","","03/17/2015","Exclusive Right To Sell","149","112","Other - See Remarks"
"1","B470956","S","$215,000","$219,900","$215,000","14 Crescent DR","14001","14001","5","2.1","2,288","RES","$195,300","Full","Cable TV Available, Patio","Cathedral Ceiling, Circuit Breakers - Some, Freestanding/Window AC, Natural Woodwork - some, Sump Pump","Family Room, Foyer/Entry Hall, Laundry-Basement, Living Room, Master Bedroom Bath","","Crawl Space","","NEW","Newstead","$1,154","07/27/2015","08/03/2015","","04/27/2015","27","Blacktop","","Ceramic-Some, Hardwood-Some, Wall To Wall Carpet-Some","Attached","Gas","","03/31/2015","Exclusive Right To Sell","223","100","Corner Lot, Neighborhood Street"
"1","B476358","S","$168,000","$172,700","$168,000","31 Sylvan PKWY","14001","14001","3","2.1","1,612","RES","$145,300","Full, Partially Finished","Cable TV Available, Deck, Garage Door Opener, Patio","Cedar Closets, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Natural Woodwork - some","1st Floor Bedroom, 1st Floor Master Bedroom, Basement / Rec Room, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Master Bedroom Bath, Porch - Open, Workshop","Shed","Crawl Space","","NEW","Newstead","$764","08/24/2015","08/28/2015","","06/06/2015","5","Blacktop","","Ceramic-Some, Hardwood-Some, Laminate-Some, Tile-Some","Attached","Gas","","06/01/2015","Exclusive Right To Sell","180","105","Neighborhood Street, Wooded Lot"
"1","B469137","S","$153,500","$158,000","$153,500","137 Skyline DR","14001","14001","4","2.1","1,958","RES","$155,000","Exterior Walkout, Finished, Full","Deck","Ceiling Fan, Sump Pump","1st Floor Master Bedroom, Family Room, Laundry-Basement","","Crawl Space","","NEW","Newstead","$916","05/21/2015","05/22/2015","","03/17/2015","15","Blacktop","","Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","03/02/2015","Exclusive Right To Sell","179","150","Neighborhood Street"
"1","B486807","S","$144,500","$149,000","$144,500","3 1/2 Jackson ST N","14001","14001","3","2.0","1,403","RES","$117,800","Partial","Barbecue, Garage Door Opener, Other - See Remarks, Private Yard - see Remarks","Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Other - See Remarks","1st Floor Bedroom, 1st Floor Master Bedroom, Laundry-1st Floor, Other - See Remarks, Porch - Open","","Full","","NEW","Newstead","$706","12/29/2015","12/30/2015","","10/22/2015","13","Blacktop","","Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Gas","","10/09/2015","Exclusive Right To Sell","127","96","Water View"
"1","B478831","S","$143,900","$143,900","$143,900","84 East AVE","14001","","3","2.0","1,302","RES","$112,800","Partial","Garage Door Opener, Patio","Ceiling Fan, Copper Plumbing - Some, Electrical Fuses - some","Laundry-1st Floor","Shed","Crawl Space","","NEW","Newstead","$677","09/29/2015","09/30/2015","","07/17/2015","21","Blacktop, Common, Shared","","Laminate-Some, Tile-Some","Detached","Electric","","06/26/2015","Exclusive Right To Sell","190","50","Wooded Lot"
"1","B482276","S","$137,000","$139,900","$137,000","8 Bloomingdale AVE","14001","14001","6","2.0","3,286","RES","$163,500","Full","Storage","Cedar Closets, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Freestanding/Window AC, Leaded Glass - some, Natural Woodwork - some, Stained Glass - Some","1st Floor Bedroom, 1st Floor Master Bedroom, Bonus Room, Den/Study, Family Room, Foyer/Entry Hall, In-Law - see Remarks, Laundry-2nd Floor, Library, Living Room, Master Bedroom Bath, Porch - Open","","Full","","NEW","Newstead","$1,325","12/07/2015","12/07/2015","","09/01/2015","25","Stone/Gravel","","Hardwood-Some, Laminate-Some, Tile-Some","Detached","Electric, Gas","","08/07/2015","Exclusive Right To Sell","143","100","Corner Lot"
"1","B464040","S","$125,000","$129,900","$125,000","17 Brooklyn ST","14001","14001","3","1.0","1,248","RES","$103,400","Full","Cable TV Available, Deck","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sump Pump","Foyer/Entry Hall, Laundry-Basement, Porch - Open","","Full, Pull Down Stairs, Unfinished","","NEW","Newstead","$611","02/17/2015","03/02/2015","","11/05/2014","3","Blacktop","","Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some","Detached","Gas","","11/02/2014","Exclusive Right To Sell","198","82","Neighborhood Street"
"1","B464048","S","$123,000","$130,000","$123,000","101 John ST","14001","14001","5","1.1","2,108","RES","$122,600","Full","Other - See Remarks","Ceiling Fan, Circuit Breakers - Some","1st Floor Bedroom, Laundry-Basement, Porch - Enclosed","","Full","","NEW","Newstead","$833","01/26/2015","01/27/2015","","11/10/2014","7","Blacktop, Shared","","Hardwood-Some, Wall To Wall Carpet-Some","","Gas","","11/03/2014","Exclusive Right To Sell","236","62","Neighborhood Street"
"1","B482521","S","$38,500","$41,900","$38,500","63 Wesley","14001","","2","2.0","1,000","RES","$0","None","Cable TV Available","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Skylight","Family Room","","None","","NEW","Newstead","$0","09/18/2015","09/18/2015","","08/27/2015","19","Concrete","","Linoleum/Vinyl, Wall To Wall Carpet-Some","","Electric","","08/08/2015","Exclusive Right To Sell","100","50","Other - See Remarks"
"1","B463811","S","$75,900","$78,900","$75,900","1331 Sumner RD","14013","14013","4","2.0","1,632","RES","$101,500","Crawl Space, Partial","","Circuit Breakers - Some, Copper Plumbing - Some","1st Floor Bedroom, Florida/Sun Room- Heated, Living Room","Shed","Crawl Space","","NEW","Alabama","$0","02/03/2015","02/04/2015","","11/28/2014","30","Stone/Gravel","","Linoleum/Vinyl, Wood-Some","Detached","Oil","","10/29/2014","Exclusive Right To Sell","435","90","Neighborhood Street, Wooded Lot"
"1","B479631","S","$51,834","$48,900","$51,834","366 W Park ST","14411","14411","3","2.0","1,960","RES","$77,200","Exterior Walkout, Full","Cable TV Available, Deck, Garage Door Opener, High Speed Internet, Partially Fenced Yard, Storage","Sump Pump","Family Room, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Workshop","Barn / Outbuilding, Shed","Crawl Space","","NEW","Albion","$1,301","10/12/2015","10/19/2015","","07/13/2015","6","Blacktop, Double Wide","","Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Detached","Gas","","07/07/2015","Exclusive Right To Sell","198","66","Neighborhood Street"
"1","B477160","S","$12,500","$12,500","$12,500","59 North ST","14411","14411","3","2.0","1,440","RES","$0","None","Cable TV Available, High Speed Internet, Satellite Dish, Thermal Windows - Some","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some","1st Floor Bedroom, 1st Floor Master Bedroom, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Master Bedroom Bath","Shed","None","","NEW","Albion","","06/26/2015","07/13/2015","","06/26/2015","17","Concrete","","Linoleum/Vinyl, Tile-Some, Wall To Wall Carpet-Some","Carport","Gas","","06/09/2015","Exclusive Right To Sell","0","0","Neighborhood Street"
"1","B478025","S","$290,000","$299,900","$290,000","3800 N Millgrove RD","14004","14004","3","2.1","1,914","RES","$119,600","Full","Garage Door Opener","Cathedral Ceiling, Ceiling Fan, Sliding Glass Door, Sump Pump","Laundry-2nd Floor","","Crawl Space","","NEW","Alden","$0","09/14/2015","10/02/2015","","07/13/2015","25","Concrete, Stone/Gravel","","Tile-Some, Wall To Wall Carpet-Some","Attached","Gas","","06/18/2015","Exclusive Right To Sell","3","250","Agricultural District, Green Area, Horses Permitted"
"1","B485829","S","$236,500","$219,900","$236,500","2475 Wende RD","14004","14004","3","2.0","1,520","RES","$97,750","Full","Cable TV Available, Deck, Garage Door Opener, High Speed Internet, Private Yard - see Remarks, Storage","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sliding Glass Door, Sump Pump","1st Floor Bedroom, 1st Floor Master Bedroom, Basement / Rec Room, Bonus Room, Foyer/Entry Hall, Laundry-1st Floor, Master Bedroom Bath, Porch - Open","Shed","Crawl Space","","NEW","Alden","$0","11/30/2015","11/30/2015","","09/25/2015","0","Circular, Concrete","","Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","09/25/2015","Exclusive Right To Sell","169","593","Primary Road"
"1","B480596","S","$225,000","$239,000","$225,000","484 Creekside DR","14004","14004","3","1.1","1,844","RES","$86,950","Finished, Full","Cable TV Available, Deck, Garage Door Opener, High Speed Internet, Patio, Thermal Windows - Some","Cathedral Ceiling, Circuit Breakers - Some, Copper Plumbing - Some, Natural Woodwork - some, Sump Pump","1st Floor Bedroom, Basement / Rec Room, Family Room, Laundry-Basement, Living Room, Porch - Open","","Full","","NEW","Alden","$0","10/05/2015","10/13/2015","","08/17/2015","30","Blacktop, Circular","","Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Electric, Gas","","07/18/2015","Exclusive Right To Sell","240","125","Corner Lot, Neighborhood Street"
"1","B481296","S","$182,500","$184,900","$182,500","1258 E Laray DR","14004","14086","3","1.1","1,512","RES","$71,000","Full","Cable TV Available, Garage Door Opener, Patio, Thermal Windows - Some","Circuit Breakers - Some, Copper Plumbing - Some, Sump Pump","Foyer/Entry Hall, Laundry-Basement, Living Room, Porch - Open","","None","","NEW","Alden","$0","10/08/2015","10/15/2015","","07/31/2015","4","Blacktop","","Hardwood-Some, Linoleum/Vinyl","Attached","Gas","","07/27/2015","Exclusive Right To Sell","200","100","Neighborhood Street, Wooded Lot"
"1","B470215","S","$175,000","$170,000","$175,000","11567 Gebhard LN","14004","14004","3","1.1","1,718","RES","$80,200","Finished, Full","Cable TV Available, Garage Door Opener, Patio, Satellite Dish","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Natural Woodwork - some, Water Softener - Owned","Family Room, Florida/Sun Room- Heated, Living Room","Shed","Crawl Space, Pull Down Stairs","","NEW","Alden","$0","05/15/2015","05/18/2015","","03/24/2015","6","Blacktop","","Laminate-Some, Tile-Some, Wall To Wall Carpet-Some","2nd Garage, Attached","Gas","","03/18/2015","Exclusive Right To Sell","400","150","Neighborhood Street"
"1","B475279","S","$170,000","$174,900","$170,000","217 Three Rod RD","14004","14004","3","1.1","2,040","RES","$55,000","Partial","Cable TV Available, Partially Fenced Yard, Patio, Wood Screens/Storms-some","Cedar Closets, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Freestanding/Window AC, Natural Woodwork - some, Sliding Glass Door","1st Floor Bedroom, 1st Floor Master Bedroom, Family Room, Great Room, Laundry-1st Floor, Living Room, Office","Shed","Partial, Stair Access","","NEW","Alden","$0","08/31/2015","09/28/2015","","06/09/2015","20","Blacktop","","Linoleum/Vinyl, Wall To Wall Carpet-Some","Carport, Detached","Gas","","05/20/2015","Exclusive Right To Sell","210","210","Agricultural District, Flood Zone, Rural Road"
"1","B466902","S","$168,900","$169,900","$168,900","12113 Walden AVE","14004","14004","3","1.0","2,256","RES","$72,200","Full","Cable TV Available, Deck, Garage Door Opener","Circuit Breakers - Some, Drapes - Some, Skylight, Sliding Glass Door, Sump Pump","1st Floor Bedroom, In-Law - see Remarks, Laundry-1st Floor, Living Room, Porch - Open","","Scuttle Access","","NEW","Alden","$0","06/19/2015","06/23/2015","","02/03/2015","21","Stone/Gravel","","Linoleum/Vinyl, Tile-Some, Wall To Wall Carpet-Some","Detached","Gas","","01/13/2015","Exclusive Right To Sell","0","400","Commercial Zoning"
"1","B486904","S","$160,000","$159,000","$160,000","863 Townline RD","14086","","5","2.0","1,568","RES","$138,000","Full","Cable TV Available, Deck, Garage Door Opener, Partially Fenced Yard, Playset / Swingset, Pool-In Ground","Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some","Den/Study","","Crawl Space","","NEW","Alden","$0","12/17/2015","01/07/2016","","10/17/2015","10","Blacktop","","Tile-Some, Wall To Wall Carpet-Some","Attached","Gas, Wood","","10/07/2015","Exclusive Right To Sell","244","100","Agricultural District"
"1","B474533","S","$158,000","$157,900","$158,000","11686 Boncliff DR","14004","14004","3","2.0","1,432","RES","$69,900","Finished, Full","Deck, Playset / Swingset","Ceiling Fan, Copper Plumbing - Some, Drapes - Some, Sliding Glass Door, Sump Pump","1st Floor Bedroom, Basement / Rec Room, Living Room","","Crawl Space","","NEW","Alden","$2,667","09/09/2015","09/11/2015","","05/20/2015","9","Blacktop","","Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Gas","","05/11/2015","Exclusive Right To Sell","200","100","Other - See Remarks"
"1","B470620","S","$157,500","$157,500","$157,500","3592 Crittenden RD","14004","14004","3","1.0","1,286","RES","$47,600","Full","Cable TV Available, Deck, Hot Tub","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Hot Tub, Sliding Glass Door","1st Floor Bedroom, 1st Floor Master Bedroom, Great Room, Laundry-Basement","","Crawl Space","","NEW","Alden","$0","07/27/2015","08/07/2015","","04/20/2015","27","Double Wide, Stone/Gravel","","Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Under House","Gas","","03/24/2015","Exclusive Right To Sell","198","199","Primary Road"
"1","B473532","S","$150,000","$144,900","$150,000","1699 Sandridge RD","14004","14004","3","1.0","1,262","RES","$140,000","Full, Partially Finished","Awning, Cable TV Available, Garage Door Opener, Patio","Cedar Closets, Copper Plumbing - Some, Drapes - Some, Natural Woodwork - some, Sump Pump","1st Floor Bedroom, 1st Floor Master Bedroom, Laundry-Basement, Living Room, Workshop","Shed","Full, Stair Access, Unfinished","","NEW","Alden","$0","07/24/2015","07/28/2015","","05/11/2015","10","Blacktop","","Ceramic-Some, Hardwood-Some, Tile-Some, Wall To Wall Carpet-Some","Detached","Gas","","05/01/2015","Exclusive Right To Sell","700","80","Neighborhood Street"
"1","B472364","S","$149,000","$149,900","$149,000","668 Creekside DR","14004","14004","4","2.0","1,728","RES","$62,100","Exterior Walkout","Cable TV Available, Garage Door Opener, High Speed Internet, Storage, Thermal Windows - Some","Circuit Breakers - Some, Copper Plumbing - Some, Dry Bar, Natural Woodwork - some, Other - See Remarks, Sump Pump","Basement / Rec Room, Family Room, Foyer/Entry Hall, Laundry-Basement, Other - See Remarks, Porch - Enclosed, Porch - Open, Workshop","Barn / Outbuilding","Partial","","NEW","Alden","$0","08/14/2015","08/14/2015","","04/26/2015","8","Blacktop","","Tile-Some, Wall To Wall Carpet-Some","Attached","Gas","","04/18/2015","Exclusive Right To Sell","317","100","Flood Zone, Near Bus Line, Neighborhood Street, Secondary Road, Water View"
"1","B468380","S","$148,730","$139,900","$148,730","1527 Town Line RD","14004","14004","3","1.0","1,852","RES","$49,400","Full","Cable TV Available, Deck, Garage Door Opener, Other - See Remarks, Patio, Storage","Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Natural Woodwork - some, Security System - Owned, Sliding Glass Door, Sump Pump","1st Floor Master Bedroom, Florida/Sun Room- Heated, Garage Apartment, Laundry-Basement, Other - See Remarks, Porch - Open, Workshop","Barn / Outbuilding, Shed","Crawl Space","","NEW","Alden","$0","05/26/2015","06/02/2015","","02/14/2015","4","Concrete","","Ceramic-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Detached","Gas","","02/10/2015","Exclusive Right To Sell","565","87","Secondary Road"
"1","B478674","S","$146,000","$149,900","$146,000","1183 Greenfield DR","14004","14004","3","1.1","1,592","RES","$74,500","Full, Partially Finished","Patio","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Sliding Glass Door","Basement / Rec Room, Family Room, Laundry-1st Floor, Living Room","Shed","Crawl Space, Partial","","NEW","Alden","$0","08/30/2015","09/10/2015","","06/27/2015","2","Circular","","Hardwood-Some, Linoleum/Vinyl","Attached","Gas","","06/25/2015","Exclusive Right To Sell","198","207","Corner Lot, Neighborhood Street"
"1","B480046","S","$145,500","$139,900","$145,500","12260 S Blossom Lea DR","14004","14004","3","1.0","1,252","RES","$54,100","Finished","Deck, Fully Fenced Yard, Garage Door Opener, High Speed Internet, Hot Tub, Patio, Storage","Other - See Remarks","1st Floor Bedroom, Basement / Rec Room, Bonus Room, Family Room, Laundry-Basement, Porch - Open, Possible Additional Bedroom","Shed","Full, Pull Down Stairs","","NEW","Alden","$0","09/29/2015","09/29/2015","","07/16/2015","3","Blacktop","","Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Gas","","07/13/2015","Exclusive Right To Sell","200","100","Neighborhood Street, Primary Road"
"1","B473145","S","$140,500","$140,000","$140,500","12363 S Blossom Lea DR","14004","14004","4","1.0","1,449","RES","$48,400","Crawl Space","Fully Fenced Yard, Garage Door Opener","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some","1st Floor Bedroom, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Porch - Open","Shed","Partial, Unfinished","","NEW","Alden","$0","07/20/2015","08/20/2015","","04/30/2015","3","Blacktop, Double Wide","","Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","04/27/2015","Exclusive Right To Sell","385","100","Neighborhood Street"
"1","B477231","S","$138,000","$142,000","$138,000","1048 Four Rod RD","14004","14004","3","1.0","1,168","RES","$141,474","Full","Cable TV Available, Electric Pet Fence, Garage Door Opener, Patio","Copper Plumbing - Some, Electrical Fuses - some","1st Floor Bedroom, 1st Floor Master Bedroom, Laundry-Basement, Living Room","","Crawl Space","","NEW","Alden","$0","09/25/2015","10/02/2015","","06/29/2015","20","Double Wide, Stone/Gravel","","Hardwood-Some, Laminate-Some, Linoleum/Vinyl","Attached","Gas","","06/09/2015","Exclusive Right To Sell","300","150","Agricultural District"
"1","B469575","S","$136,900","$139,900","$136,900","2207 Townline RD","14004","14004","3","1.0","1,344","RES","$62,500","Full, Partially Finished","Garage Door Opener, Other - See Remarks","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Natural Woodwork - some","1st Floor Bedroom, Basement / Rec Room, Florida/Sun Room- Heated, Foyer/Entry Hall, Laundry-Basement, Living Room, Porch - Open","","Crawl Space, Unfinished","","NEW","Alden","$0","05/29/2015","06/10/2015","","03/20/2015","11","Dirt, Stone/Gravel","","Ceramic-Some, Hardwood-Some, Wall To Wall Carpet-Some, Wood-Some","Attached","Gas","","03/09/2015","Exclusive Right To Sell","333","100","Neighborhood Street, Rural Road"
"1","B469307","S","$136,000","$139,900","$136,000","2133 Town Line RD","14004","14004","2","1.0","1,150","RES","$48,400","Full","Garage Door Opener, Patio","Ceiling Fan, Circuit Breakers - Some, Sliding Glass Door, Sump Pump","Family Room, Living Room","Shed","None","","NEW","Alden","$0","05/21/2015","06/03/2015","","03/06/2015","3","Blacktop","","Ceramic-Some, Laminate-Some","Attached","Gas","","03/03/2015","Exclusive Right To Sell","300","96","Other - See Remarks"
"1","B466376","S","$135,680","$129,900","$135,680","1078 Clearvue DR","14004","14004","4","1.0","1,596","RES","$54,200","Crawl Space","Deck, Garage Door Opener, High Speed Internet, Patio, Pool-Above Ground, Private Yard - see Remarks, Storage","Ceiling Fan, Circuit Breakers - Some","1st Floor Bedroom, Laundry-1st Floor","Barn / Outbuilding, Shed","Crawl Space","","NEW","Alden","$0","03/06/2015","03/06/2015","","01/15/2015","12","Concrete","","Laminate-Some, Wall To Wall Carpet-Some","2nd Garage, Attached","Gas, Wood","","01/03/2015","Exclusive Right To Sell","228","100","Neighborhood Street, Primary Road"
"1","B480535","S","$135,000","$129,900","$135,000","2206 County Line RD","14004","14004","3","1.1","1,856","RES","$64,800","Full","High Speed Internet, Storage","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sump Pump","Foyer/Entry Hall, Laundry-1st Floor, Porch - Open","Barn / Outbuilding","Crawl Space","","NEW","Alden","$0","10/15/2015","10/16/2015","","07/21/2015","4","Stone/Gravel","","Hardwood-Some","No Garage","Gas","","07/17/2015","Exclusive Right To Sell","0","215","Primary Road"
"1","B478101","S","$125,000","$119,900","$125,000","11085 Jane DR","14004","14086","3","1.0","1,164","RES","$57,000","Full","Cable TV Available, High Speed Internet, Private Yard - see Remarks, Storage","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sump Pump","1st Floor Bedroom, Basement / Rec Room, Laundry-Basement, Porch - Enclosed","","Crawl Space","","NEW","Alden","$0","09/28/2015","09/28/2015","","07/17/2015","28","Blacktop","","Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","06/19/2015","Exclusive Right To Sell","205","110","Neighborhood Street"
"1","B473422","S","$123,000","$119,900","$123,000","2625 Peters Corners RD","14004","14004","3","1.0","1,008","RES","$59,800","Full, Partially Finished","Cable TV Available, Garage Door Opener, Patio, Private Yard - see Remarks, Storage","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sliding Glass Door, Sump Pump","1st Floor Bedroom, Basement / Rec Room, Laundry-Basement","Shed","Crawl Space","","NEW","Alden","$0","08/12/2015","08/12/2015","","05/04/2015","5","Blacktop","","Ceramic-Some, Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","04/29/2015","Exclusive Right To Sell","310","100","Primary Road"
"1","B473862","S","$103,400","$99,900","$103,400","3629 Crittenden RD","14004","14004","3","1.0","1,170","RES","$49,100","Full","Cable TV Available, Deck, Partially Fenced Yard, Private Yard - see Remarks, Storage","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Water Softener - Owned","1st Floor Bedroom, Laundry-Basement, Porch - Open","Shed","Crawl Space","","NEW","Alden","$0","09/17/2015","09/21/2015","","05/05/2015","0","Blacktop","","Ceramic-Some, Laminate-Some","Detached","Gas, Wood","","05/05/2015","Exclusive Right To Sell","384","62","Near Bus Line, Primary Road"
"1","B482159","S","$100,000","$99,900","$100,000","1165 Sandridge RD","14004","14004","4","1.1","1,596","RES","$54,000","Full","Cable TV Available, Garage Door Opener, Private Yard - see Remarks, Storage","Ceiling Fan","1st Floor Bedroom, Bonus Room, Foyer/Entry Hall, Laundry-1st Floor","Shed","Crawl Space","","NEW","Alden","$0","11/10/2015","11/11/2015","","08/06/2015","0","Blacktop","","Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","08/06/2015","Exclusive Right To Sell","183","120","Primary Road"
"1","B463505","S","$92,000","$99,900","$92,000","417 Two Rod RD","14004","14004","3","1.0","1,368","RES","$35,300","Partial","Cable TV Available, Deck, Electric Pet Fence, Pool-Above Ground","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Skylight, Sump Pump","1st Floor Bedroom, Laundry-1st Floor, Living Room","Shed","Crawl Space","","NEW","Alden","$0","02/25/2015","02/26/2015","","11/14/2014","21","Stone/Gravel","","Ceramic-Some, Laminate-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","No Garage","Gas","","10/24/2014","Exclusive Right To Sell","260","130","Agricultural District, Wooded Lot"
"1","B464291","S","$55,555","$61,000","$55,555","11170 Broadway ST","14004","","4","1.0","1,071","RES","$42,000","Full","Other - See Remarks","Copper Plumbing - Some, Natural Woodwork - some","1st Floor Bedroom, Living Room","","Crawl Space","","NEW","Alden","$504","02/27/2015","03/02/2015","","12/05/2014","30","Blacktop","","Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Detached","Gas","","11/05/2014","Exclusive Right To Sell","231","70","Agricultural District"
"1","B467582","S","$176,000","$194,900","$176,000","1707 Baxter","14004","","6","2.1","3,206","RES","$94,900","Exterior Walkout","Cable TV Available, Garage Door Opener","Other - See Remarks","1st Floor Master Bedroom, Basement / Rec Room, Den/Study","","Crawl Space","02/29/2016","NEW","Alden","$1,376","03/15/2015","02/29/2016","","02/14/2015","18","Blacktop, Circular, Concrete","","Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Gas","","01/27/2015","Exclusive Right To Sell","200","316","Other - See Remarks, Water View"
"1","B468958","S","$154,500","$159,900","$154,500","1720 Willow Woods","14004","14004","3","2.1","1,768","RES","$94,950","Finished","Cable TV Available, Deck, Fully Fenced Yard, Garage Door Opener, Hot Tub, Pool-Above Ground","Circuit Breakers - Some, Copper Plumbing - Some, Indoor Pool, Natural Woodwork - some, Sliding Glass Door, Sump Pump","1st Floor Master Bedroom, Basement / Rec Room, Laundry-Basement","Shed","Crawl Space","","NEW","Alden","$1,388","04/10/2015","04/29/2015","","02/25/2015","0","Blacktop","","Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Gas","","02/25/2015","Exclusive Right To Sell","180","100","Neighborhood Street"
"1","B466915","S","$154,000","$149,900","$154,000","13455 Irving ST","14004","14004","3","2.0","1,656","RES","$76,900","Full","Garage Door Opener, High Speed Internet","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Water Softener - Owned","1st Floor Bedroom, Bonus Room, Florida/Sun Room- Heated, Laundry-Basement, Master Bedroom Bath, Other - See Remarks, Porch - Enclosed, Possible Additional Bedroom","Barn / Outbuilding","Crawl Space","","NEW","Alden","$1,160","04/21/2015","04/21/2015","","02/13/2015","30","Concrete","","Ceramic-Some, Hardwood-Some, Wall To Wall Carpet-Some","2nd Garage, Attached","Coal, Gas","","01/14/2015","Exclusive Right To Sell","212","69","Neighborhood Street, Primary Road"
"1","B469182","S","$150,000","$154,900","$150,000","12908 Main ST","14004","14004","4","2.0","1,242","RES","$61,800","Full, Partially Finished","Cable TV Available, Garage Door Opener, High Speed Internet, Patio, Pool-Above Ground, Thermal Windows - Some","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Natural Woodwork - some, Sump Pump, Water Softener - Owned","Basement / Rec Room, Bonus Room, Laundry-Basement, Living Room, Possible Additional Bedroom","Shed","Crawl Space","","NEW","Alden","$1,156","08/31/2015","09/09/2015","","03/30/2015","29","Blacktop, Double Wide","","Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","03/01/2015","Exclusive Right To Sell","203","70","Neighborhood Street, Secondary Road"
"1","B475382","S","$147,000","$149,900","$147,000","13378 Irving ST","14004","","4","1.1","1,716","RES","$66,600","Full, Partially Finished","Cable TV Available, Garage Door Opener, High Speed Internet, Private Yard - see Remarks, Storage","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Water Softener - Owned","1st Floor Bedroom, Basement / Rec Room, Bonus Room, Laundry-Basement","","Crawl Space","","NEW","Alden","$1,030","08/14/2015","08/14/2015","","05/26/2015","5","Concrete","","Ceramic-Some, Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Detached","Gas","","05/21/2015","Exclusive Right To Sell","183","75","Neighborhood Street, Primary Road"
